ID,MDEP,APE,ISS-MATCH,Fund10,Req10,Fund11,Req11,Fund12,Req12,Fund13,Req13,Fund14,Req14,Fund15,Req15,Fund16,Req16,Fund17,Req17,Fund18,Req18,Fund19,Req19,Fund20,Req20,Fund21,Req21
000 QNMG 131034A00,QNMG, 131034A00,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030 QNMG 131034A00,QNMG, 131034A00,100,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
080 QNMG 131034A00,QNMG, 131034A00,100,0,1671,1558,1359,170,170,0,175,2820,401,0,840,442,767,528,643,551,0,578,0,597,0,599,0
170 QNMG 131034A00,QNMG, 131034A00,100,0,0,1653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180 QNMG 131034A00,QNMG, 131034A00,100,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180 QNMG 131G34A00,QNMG, 131G34A00,100,232,18105,199,21099,182,478,217,217,341,311,209,315,192,320,261,333,265,0,270,0,343,0,350,0
220 QNMG 131034A00,QNMG, 131034A00,100,0,9649,1170,10084,5843,5936,402,5360,753,819,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220 QNMG 131R34A00,QNMG, 131R34A00,100,0,973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240 QNMG 131R34A00,QNMG, 131R34A00,100,1102,7185,973,4133,3877,3877,656,1706,1573,757,143,647,295,1500,3026,7859,7951,0,7867,0,7763,0,7537,0
2A0 QNMG 131034A00,QNMG, 131034A00,100,245260,143543,270598,118839,97081,117484,337267,111128,0,83969,71994,82863,56508,63926,54149,57705,41860,0,41953,0,41986,0,42174,0
2A0 QNMG 131R34A00,QNMG, 131R34A00,100,8600,26413,5406,9770,5358,5417,5804,5038,5770,6485,7232,6243,7360,7625,7700,7726,7828,0,7939,0,8077,0,8236,0
2A0 QNMG 665301DW8,QNMG, 665301DW8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1836,1649,1649,1688,0,1705,0,1760,0,1808,0
6A0 QNMG 131034A00,QNMG, 131034A00,100,0,0,82,0,0,0,0,0,184,156,0,157,940,294,0,0,0,0,0,0,0,0,0,0
740 QNMG 131034A00,QNMG, 131034A00,100,255,1817,185,1679,464,464,0,474,14,200,0,400,276,440,0,0,0,0,0,0,0,0,0,0
780 QNMG 131034A00,QNMG, 131034A00,100,0,499,19407,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820 QNMG 131034A00,QNMG, 131034A00,100,0,0,0,0,368,368,706,405,0,0,0,412,289,420,0,0,0,0,0,0,0,0,0,0
840 QNMG 131034A00,QNMG, 131034A00,100,245,1879,331,1919,1938,1938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
890 QNMG 131034A00,QNMG, 131034A00,100,0,0,0,0,0,0,1186,0,1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000 QNMG 131034C00,QNMG, 131034C00,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180 QNMG 131G34C00,QNMG, 131G34C00,106,5,286,0,10567,0,0,246,246,275,251,243,249,178,254,208,264,213,0,218,0,277,0,283,0
2A0 QNMG 131034C00,QNMG, 131034C00,106,22853,25439,12142,12788,11919,19018,0,19020,0,17579,21408,20580,17884,21757,15759,20248,16123,0,17314,0,16220,0,16129,0
2A0 QNMG 131R34C00,QNMG, 131R34C00,106,319,1266,424,919,590,590,696,530,692,570,362,634,578,647,580,661,661,0,676,0,681,0,697,0
740 QNMG 131034C00,QNMG, 131034C00,106,56,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000 QNMG 131034D00,QNMG, 131034D00,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
080 QNMG 131034D00,QNMG, 131034D00,107,0,0,0,0,596,596,0,612,0,719,0,1033,1,0,0,0,0,0,0,0,0,0,0,0
180 QNMG 131G34D00,QNMG, 131G34D00,107,234,409,0,416,0,149,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A0 QNMG 131034D00,QNMG, 131034D00,107,21254,24030,8404,23109,18885,21516,0,21447,0,18560,38390,20987,30935,31139,28496,29353,28971,0,28653,0,28499,0,28661,0
2A0 QNMG 131R34D00,QNMG, 131R34D00,107,2239,3615,840,3575,2018,2018,2089,1688,2077,1781,1556,1815,1697,2060,1885,2095,2107,0,1943,0,2173,0,1617,0
740 QNMG 131034D00,QNMG, 131034D00,107,95,76,0,89,93,93,0,96,0,99,0,204,142,206,0,0,0,0,0,0,0,0,0,0
840 QNMG 131034D00,QNMG, 131034D00,107,0,0,0,0,0,0,0,165,195,167,0,242,247,247,0,0,0,0,0,0,0,0,0,0
180 QNMG 131G34E00,QNMG, 131G34E00,108,5,245,0,250,39,39,40,40,38,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240 QNMG 131R34E00,QNMG, 131R34E00,108,339,0,207,443,1550,1550,195,1597,0,816,314,676,636,784,719,799,776,0,734,0,836,0,848,0
2A0 QNMG 131034E00,QNMG, 131034E00,108,724,1578,14,696,1017,1097,0,553,349273,78,0,0,91,91,0,0,0,0,0,0,0,0,0,0
2A0 QNMG 131R34E00,QNMG, 131R34E00,108,793,506,143,588,260,260,232,268,231,579,461,696,218,263,247,275,274,0,281,0,293,0,318,0
840 QNMG 131034E00,QNMG, 131034E00,108,0,0,0,0,0,0,0,115,0,117,0,173,53,53,0,0,0,0,0,0,0,0,0,0
890 QNMG 131034E00,QNMG, 131034E00,108,1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8B0 QNMG 131034E00,QNMG, 131034E00,108,0,0,0,0,0,0,0,27,0,27,0,27,19,27,0,0,0,0,0,0,0,0,0,0
000 QNMG 131034F00,QNMG, 131034F00,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
080 QNMG 131034F00,QNMG, 131034F00,109,0,0,0,0,170,170,0,175,0,205,0,315,252,280,294,294,302,0,310,0,320,0,325,0
180 QNMG 131G34F00,QNMG, 131G34F00,109,6,0,0,0,212,577,585,1330,396,947,170,961,1007,1678,1222,1557,1222,0,1226,0,1078,0,1099,0
240 QNMG 131R34F00,QNMG, 131R34F00,109,1147,0,0,0,0,0,517,1090,0,1718,934,1451,1416,1759,1593,1791,1817,0,1812,0,1854,0,1879,0
2A0 QNMG 131034F00,QNMG, 131034F00,109,17382,10274,7641,9469,15361,22544,0,14543,0,12386,18734,13261,14740,14740,14000,14352,13890,0,13704,0,13528,0,13577,0
2A0 QNMG 131R34F00,QNMG, 131R34F00,109,149,0,0,0,1000,1000,1161,870,1154,313,222,331,224,225,203,226,228,0,232,0,212,0,218,0
740 QNMG 131034F00,QNMG, 131034F00,109,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820 QNMG 131R34F00,QNMG, 131R34F00,109,55,0,0,0,0,0,0,0,0,48,0,46,53,55,0,0,0,0,0,0,0,0,0,0
840 QNMG 131034F00,QNMG, 131034F00,109,0,0,0,0,0,0,0,140,0,142,0,222,127,127,0,0,0,0,0,0,0,0,0,0
890 QNMG 131R34F00,QNMG, 131R34F00,109,17,0,0,0,0,0,0,0,0,60,0,60,59,70,0,0,0,0,0,0,0,0,0,0
8B0 QNMG 131034F00,QNMG, 131034F00,109,0,0,0,0,0,0,0,9,0,9,0,21,14,21,0,0,0,0,0,0,0,0,0,0
000 QNMG 131034H00,QNMG, 131034H00,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
080 QNMG 131034H00,QNMG, 131034H00,111,0,0,259,265,255,255,1833,261,0,309,0,333,327,386,400,400,415,0,426,0,439,0,463,0
2A0 QNMG 131034H00,QNMG, 131034H00,111,7296,6644,4123,16770,12399,13725,0,13612,0,13448,15533,17932,11977,11905,11504,12343,11403,0,11618,0,11830,0,11891,0
2A0 QNMG 131R34H00,QNMG, 131R34H00,111,0,0,287,613,648,648,464,602,461,548,522,526,558,624,562,632,605,0,563,0,574,0,636,0
740 QNMG 131034H00,QNMG, 131034H00,111,0,0,0,88,93,93,0,96,0,99,0,242,145,260,0,0,0,0,0,0,0,0,0,0
