ISS,Funding, Requirement,Funding, Requirement,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1074,57,-1885,97,0,0,0,0,0,0,0,0
100,0,0,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,1671,1558,1359,170,170,171,350,2992,577,167,1018,612,948,702,829,551,0,578,0,597,0,599,0
100,0,0,0,0,1653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,232,18105,199,21099,182,478,434,434,652,622,424,630,354,582,532,604,265,0,270,0,343,0,350,0
100,0,0,0,9649,1170,10084,5843,5936,5303,10720,8654,8909,751,790,845,851,859,900,0,0,0,0,0,0,0,0
100,0,0,0,973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,1102,7185,973,4133,3877,3877,2056,3412,2956,2434,1527,2498,1662,3386,4380,9778,7951,0,7867,0,7763,0,7537,0
100,0,0,245260,143543,270598,118839,97081,117484,425494,222256,86790,180176,124916,175274,108252,151275,109703,147712,41860,0,41953,0,41986,0,42174,0
100,0,0,8600,26413,5406,9770,5358,5417,10291,10076,10326,11447,11805,11141,11882,12567,12339,12797,7828,0,7939,0,8077,0,8236,0
100,0,0,0,0,82,0,0,0,0,0,184,156,0,157,940,294,0,0,0,0,0,0,0,0,0,0
100,0,0,255,1817,185,1679,464,464,474,948,498,684,494,894,780,944,513,513,0,0,0,0,0,0,0,0
100,0,0,0,499,19407,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,368,368,1111,810,407,407,412,824,707,838,426,426,0,0,0,0,0,0,0,0
100,0,0,245,1879,331,1919,1938,1938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,1186,0,1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-231,12,-471,24,0,0,0,0,0,0,0,0
106,0,0,5,286,0,10567,0,0,492,492,526,502,500,506,441,517,477,533,213,0,218,0,277,0,283,0
106,0,0,22853,25439,12142,12788,11919,19018,14030,38040,13854,36211,32979,39356,33793,40745,32228,39515,16123,0,17314,0,16220,0,16129,0
106,0,0,319,1266,424,919,590,590,1190,1060,1249,1145,910,1296,1199,1336,1197,1343,661,0,676,0,681,0,697,0
106,0,0,56,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-461,25,-866,44,0,0,0,0,0,0,0,0
107,0,0,0,0,0,0,596,596,598,1224,603,1337,611,1659,620,636,627,647,0,0,0,0,0,0,0,0
107,0,0,234,409,0,416,0,149,124,124,96,96,99,99,82,82,85,85,0,0,0,0,0,0,0,0
107,0,0,21254,24030,8404,23109,18885,21516,17797,42894,17981,39862,56945,42417,49869,51783,48053,50324,28971,0,28653,0,28499,0,28661,0
107,0,0,2239,3615,840,3575,2018,2018,3662,3376,3812,3573,3230,3838,3554,4122,3730,4135,2107,0,1943,0,2173,0,1617,0
107,0,0,95,76,0,89,93,93,96,192,99,198,102,306,247,311,107,107,0,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,0,165,330,362,334,169,411,418,418,173,173,0,0,0,0,0,0,0,0
108,0,0,5,245,0,250,39,39,80,80,73,70,0,25,0,20,21,21,0,0,0,0,0,0,0,0
108,0,0,339,0,207,443,1550,1550,615,3194,429,2449,774,2347,1093,2495,1200,2548,776,0,734,0,836,0,848,0
108,0,0,724,1578,14,696,1017,1097,553,1106,350028,833,766,766,868,868,789,789,0,0,0,0,0,0,0,0
108,0,0,793,506,143,588,260,260,484,536,488,853,724,976,487,549,522,568,274,0,281,0,293,0,318,0
108,0,0,0,0,0,0,0,0,115,230,117,234,119,292,174,174,123,123,0,0,0,0,0,0,0,0
108,0,0,1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,27,54,27,54,28,55,47,55,29,29,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-231,12,-707,37,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,170,170,173,350,174,381,175,493,431,461,476,480,302,0,310,0,320,0,325,0
109,0,0,6,0,0,0,212,577,1170,2660,758,1894,344,1922,1289,2656,1521,2551,1222,0,1226,0,1078,0,1099,0
109,0,0,1147,0,0,0,0,0,1607,2180,1116,2834,2076,2593,2583,2926,2789,2987,1817,0,1812,0,1854,0,1879,0
109,0,0,17382,10274,7641,9469,15361,22544,13293,29086,13475,27161,33233,28160,32716,33316,32281,33233,13890,0,13704,0,13528,0,13577,0
109,0,0,149,0,0,0,1000,1000,2031,1740,2069,1228,1246,1355,1262,1263,1230,1253,228,0,232,0,212,0,218,0
109,0,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0,0,55,0,0,0,0,0,0,0,0,48,0,46,53,55,0,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,140,280,142,284,144,366,273,273,148,148,0,0,0,0,0,0,0,0
109,0,0,17,0,0,0,0,0,0,0,0,60,0,60,59,70,0,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,9,18,9,18,9,30,24,31,10,10,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-231,12,-547,31,0,0,0,0,0,0,0,0
111,0,0,0,0,259,265,255,255,2088,522,258,573,262,601,594,659,672,680,415,0,426,0,439,0,463,0
111,0,0,7296,6644,4123,16770,12399,13725,12011,27224,11797,26850,27562,31480,24424,25676,24134,26403,11403,0,11618,0,11830,0,11891,0
111,0,0,0,0,287,613,648,648,866,1204,878,1165,1026,1085,1076,1198,1086,1219,605,0,563,0,574,0,636,0
111,0,0,0,0,0,88,93,93,96,192,99,198,102,344,250,365,107,107,0,0,0,0,0,0,0,0
111,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,106,106,112,224,112,112,114,228,194,231,116,116,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0,0,455,500,253,506,256,602,487,411,262,262,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-617,31,-944,49,0,0,0,0,0,0,0,0
112,0,0,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0,0,0,0,173,177,511,511,511,1048,517,1144,522,1556,1255,1418,1444,1461,932,0,930,0,961,0,988,0
112,0,0,12339,0,12619,0,5506,15184,42011,36614,38816,47237,35072,46400,38176,44956,43799,45397,23811,0,24092,0,25347,0,25087,0
112,0,0,388,0,0,0,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0,0,2862,0,0,0,0,0,0,0,0,2189,278,1256,1245,1550,1390,1572,1605,0,1665,0,1695,0,1693,0
