ISDI #,ISS #,ISS,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1,100,100,43960,130540,-20851,220549,-81643,-12299,-10826,-8602,0,0,0,0
2,102,102,-6242.5,-16893,-785,-11503.75,-10929.75,2524.5,-208.5,-330.5,0,0,0,0
3,103,103,-6242.5,-16893,-785,-11503.75,-10929.75,2524.5,-208.5,-330.5,0,0,0,0
4,104,104,-6242.5,-16893,-785,-11503.75,-10929.75,2524.5,-208.5,-330.5,0,0,0,0
5,105,105,-6242.5,-16893,-785,-11503.75,-10929.75,2524.5,-208.5,-330.5,0,0,0,0
6,106,106,-3814,-11708,-7099,-18854,-17433,550,-4018,-4626,0,0,0,0
7,107,107,-4308,-17945,-2780,-21919,-19054,15665,-631,-1067,0,0,0,0
8,109,109,7108,-1828,-7548,-15894,-14278,3392,-1063,-908,0,0,0,0
9,111,111,652,-13173,-1326,-12431,-14196,-3438,-129,-909,0,0,0,0
10,112,112,14201,361,-9996,-23882,-36166,-7803,-12688,-1973,0,0,0,0
11,115,115,26469.33333,10435.66667,-62,5012.333333,3333.666667,5048,-1275,0,0,0,0,0
12,116,116,26469.33333,10435.66667,-62,5012.333333,3333.666667,5048,-1275,0,0,0,0,0
13,118,118,26142.33333,7510.666667,-458,688.3333333,-735.3333333,2275,-6521,-830,0,0,0,0
14,121,121,17975,-30729,-10393,-42824,-40429,1018,-368,-216,0,0,0,0
15,113,113,-24380,-61552,-42685,-82027,-65340,4895,-9964,-4054,0,0,0,0
16,250,250,-15129,-73501,-17461,5987,-56411,-45919,-7098,-1373,0,0,0,0
17,800,800,-2130,-3831,-4363,52587,-81709,-3071,-17484,-18139,0,0,0,0
18,803,803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,202,202,0,0,0,0,-3454,-7091,-1019,-697,0,0,0,0
20,251,251,-48665,-10456,56759,-63605,-218596,-93048,-44541,-20301,0,0,0,0
21,252,252,-30350,-30629,-9751,-106645,-439856,-190344,-40694,4283,0,0,0,0
22,253,253,-50127,-496.5,-257,-12721,-109721,-46100.5,-4699.5,-2806.5,0,0,0,0
23,254,254,-50127,-496.5,-257,-12721,-109721,-46100.5,-4699.5,-2806.5,0,0,0,0
24,201,201,-7076,-428,-5157,-61522,-46433,-104828,-36929,-16321,0,0,0,0
25,414,414,15391,-11684,-1400,-8012,18169,-35046,-2422,-11110,0,0,0,0
26,411,411,0,-88,-158,-83,-491,-699,44,0,0,0,0,0
27,420,420,0,-1,0,0,0,0,0,0,0,0,0,0
28,200,200,62429,-63424,-76217,-76776,-62439,-45473,-14855,-3867,0,0,0,0
29,400,400,0,0,0,0,0,0,0,0,-121635,-107575,-115029,-133964
30,402,402,0,0,0,0,0,0,0,0,-24343,-26776,-25305,-24100
31,403,403,0,0,0,0,0,0,0,0,-6492,-6875,-19995,-14867
32,404,404,0,0,0,0,0,0,0,0,-8220,-5584,-4451,-2456
33,405,405,0,0,0,0,0,0,0,0,-1708,-5269,-6136,-6230
34,406,406,0,0,0,0,0,0,0,0,-532,-431,-442,-554
35,408,408,0,0,0,0,0,0,0,0,-11684,-4096,-3972,-4033
36,500,500,0,0,0,0,0,0,0,0,0,0,0,0
37,501,501,0,0,0,0,0,0,0,0,0,0,0,0
38,502,502,0,0,0,0,0,0,0,0,0,-2,0,0
39,503,503,0,0,0,0,0,0,0,0,-47,-49,-49,-49
40,504,504,0,0,0,0,0,0,0,0,0,0,0,0
41,505,505,-295947,-325848,-46272,-55855,-61421,-36686,-40093,-25758,0,0,0,0
42,506,506,121919,-15063,-33656,-47881,-49569,-68677,-64209,-32589,0,0,0,0
43,507,507,-4931,-15511,-7882,-17563,-7478,-17691,-6264,-1702,0,0,0,0
44,510,510,0,0,0,0,0,0,0,0,-1413,-2267,-1202,-1215
45,401,401,0,0,0,0,0,0,0,0,-102,-56,0,0
46,600,600,395488,-76104,-416652,-302968,-302273,-329091,-124078,-157225,0,0,0,0
47,601,601,-24684,-86396,-13728,-21902,-4059,-14238,-4957,-16561,0,0,0,0
48,602,602,-5304,-27588,-10374,-73849,-31266,-52886,-52587,-17535,0,0,0,0
49,603,603,-7320,-24183,-12729,-51127,-77520,-46370,-12065,-7803,0,0,0,0
50,604,604,-32705,-45702,-1008,-137595,-58957,-68040,-15608,-12704,0,0,0,0
51,702,702,-20550,-24668,-12613,-15526,-50349,-256,-6183,-3739,0,0,0,0
52,900,900,17288,21309,-6147,-1765,-6911,-26380,-43725,-10444,0,0,0,0
53,901,901,11143.5,18332,-5790,-2268.5,180,-4333.5,33,0,0,0,0,0
54,902,902,11143.5,18332,-5790,-2268.5,180,-4333.5,33,0,0,0,0,0
55,903,903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,904,904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,905,905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,906,906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,701,701,-148934,-9115,-137134,-220921,-236439,-276333,-24536,-22514,0,0,0,0
60,703,703,-68879,-395941,-27861,-153611,410649,427187,-5686,-19401,0,0,0,0
61,700,700,-227626,1077,-47897,78569,-391056,-396700,-30082,100434,0,0,0,0
62,300,300,0,0,0,0,0,0,0,0,-3277.5,-4306.833333,-4268.666667,-4284
63,301,301,0,0,0,0,0,0,0,0,-13445,-8304,-8301,-7130
64,302,302,0,0,0,0,0,0,0,0,-8501.5,-5187.833333,-5004.666667,-4967
65,303,303,0,0,0,0,0,0,0,0,0,0,0,0
66,304,304,0,0,0,0,0,0,0,0,0,-1259,-1284,-1307
67,305,305,0,0,0,0,0,0,0,0,-17481,-19052,-19252,-19165
68,306,306,0,0,0,0,0,0,0,0,-6802,-6661,-6603,-6532
69,307,307,0,0,0,0,0,0,0,0,-15952,-13292,-13281,-13193
70,308,308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,309,309,0,0,0,0,0,0,0,0,-1000,-596.3333333,-595.6666667,-595
ISSs Not Included,,108,-807,-1613,-80,-2133,347890,-797,-201,-108,0,0,0,0
ISSs Not Included,,122,-671,-123465,-55179,-50726,-2540,-11115,-10323,-5490,0,0,0,0
ISSs Not Included,,407,0,0,0,0,0,0,0,0,0,0,0,0
ISSs Not Included,,409,-69810,-53206,-456150,190725,210382,290954,-249738,-525155,0,0,0,0
ISSs Not Included,,424,0,0,0,0,4319,-1745,-1757,-1773,0,0,0,0
ISSs Not Included,,509,-458147,-493525,-14978,-447684,-327121,-360411,-74510,-36492,0,0,0,0
ISSs Not Included,,512,0,0,0,0,0,0,0,0,0,0,0,0
