service,Name,AVG,Impact
ISS100,ISS 100: Installation Management,6.6,Moderately High Impact
ISS102,ISS 102: Administration and Civil Law,6.26,Moderate Impact
ISS103,ISS 103: Criminal Law and Discipline,6.7,Moderately High Impact
ISS104,ISS 104: Client Services,5.26,Moderate Impact
ISS105,ISS 105: Claims,5.45,Moderate Impact
ISS106,ISS 106: Religious Support,4.91,Low Impact
ISS107,ISS 107: Public Affairs,4.13,Low Impact
ISS109,ISS 109: Equal Employment Opportunity (EEO),4.79,Low Impact
ISS111,ISS 111: Internal Review,5.01,Low Impact
ISS112,ISS 112: Installation Safety and Occupational Health,5.31,Moderate Impact
ISS115,ISS 115: Program Budget,6.39,Moderately High Impact
ISS116,ISS 116: Support Agreement (MOU/MOA) Mgmt,5.28,Moderate Impact
ISS118,ISS 118: Installation TDA Management,5.27,Moderate Impact
ISS121,ISS 121: Management Analysis,5.9,Moderate Impact
ISS113,ISS 113: Administrative Management,5.81,Moderate Impact
ISS250,ISS 250: Substance Abuse,6.24,Moderate Impact
ISS800,ISS 800: Military Personnel Services,7.59,High Impact
ISS803,ISS 803: Continuing Education Services,5.99,Moderate Impact
ISS202,ISS 202: Army Lodging Management,5.78,Moderate Impact
ISS251,ISS 251: Army Community Service,6.3,Moderately High Impact
ISS252,"ISS 252: Child, Youth, and School Services",7.48,High Impact
ISS253,"ISS 253: Sports, Recreation, and Libraries",5.6,Moderate Impact
ISS254,ISS 254: Business Operations,4.2,Low Impact
ISS201,ISS 201: Family Housing Management,7.06,Moderately High Impact
ISS414,ISS 414: Facilities Maintenance - Army Family Housing,6.44,Moderately High Impact
ISS411,ISS 411: Facilities Maintenance - Vertical,6.24,Moderate Impact
ISS420,ISS 420: Facilities Maintenance - Horizontal,6.25,Moderate Impact
ISS200,ISS 200: UEPH/SEBQ/UOQ Management,6.12,Moderate Impact
ISS400,ISS 400: Facilities Engineering Services Mgmt,5.91,Moderate Impact
ISS402,ISS 402: Custodial Services,4.61,Low Impact
ISS403,ISS 403: Refuse Removal,6.11,Moderate Impact
ISS404,ISS 404: Maintenance - Grounds,4.38,Low Impact
ISS405,ISS 405: Master Planning,5.44,Moderate Impact
ISS406,ISS 406: Real Estate/Real Property Administration,5.52,Moderate Impact
ISS408,"ISS 408: Snow, Ice, and Sand Removal",4.81,Low Impact
ISS500,ISS 500: Electrical Services,7.59,High Impact
ISS501,ISS 501: Heating/Cooling Services,7.55,High Impact
ISS502,ISS 502: Water Services,8.08,High Impact
ISS503,ISS 503: Waste Water Services,7.99,High Impact
ISS504,ISS 504: Other Utility Services,7.52,High Impact
ISS505,ISS 505: Compliance Services,5.53,Moderate Impact
ISS506,ISS 506: Conservation Services,4.4,Low Impact
ISS507,ISS 507: Pollution Prevention Services,4.75,Low Impact
ISS510,ISS 510: Pest Management,5.19,Low Impact
ISS401,ISS 401: Fire and Emergency Response Service,8.36,High Impact
ISS600,ISS 600: Physical Security,8,High Impact
ISS601,ISS 601: Law Enforcement Services,8.01,High Impact
ISS602,ISS 602: Anti-Terrorism Services,7.18,Moderately High Impact
ISS603,ISS 603: Installation Security Program Mgmt Support,7.55,High Impact
ISS604,ISS 604: Emergency Management,7.87,High Impact
ISS702,ISS 702: Multimedia/Visual Information Processes,4.38,Low Impact
ISS900,ISS 900: Airfield Operations,7.38,High Impact
ISS901,ISS 901: Mobilization and Deployment Support,7.7,High Impact
ISS902,ISS 902: Command and Control,7.29,Moderately High Impact
ISS903,ISS 903: Training Land Sustainment,7.16,Moderately High Impact
ISS904,ISS 904: Range Operations,7.29,Moderately High Impact
ISS905,ISS 905: Training Support Center,6.67,Moderately High Impact
ISS906,ISS 906: Battle Command Training Center (MTC),6.53,Moderately High Impact
ISS701,ISS 701: Communication Systems and System Support,8.42,High Impact
ISS703,ISS 703: Information Assurance,7.97,High Impact
ISS700,ISS 700: Automation,6.97,Moderately High Impact
ISS300,ISS 300: Clothing and Equipment,7.58,High Impact
ISS301,ISS 301: Retail Supply,6.58,Moderately High Impact
ISS302,ISS 302: Asset Management,6.65,Moderately High Impact
ISS303,ISS 303: Military Clothing and Sales,6.19,Moderate Impact
ISS304,ISS 304: Laundry and Dry-Cleaning Services,4.43,Low Impact
ISS305,ISS 305: Food Services,7.06,Moderately High Impact
ISS306,ISS 306: Material Support Maintenance,7.44,High Impact
ISS307,ISS 307: Transportation Services - NTVs,6.23,Moderate Impact
ISS308,ISS 308: Transportation Services - Personal Property,6.28,Moderately High Impact
ISS309,ISS 309: Supply and Storage,6.92,Moderately High Impact
