Button,ISS1,ISS2,ISS3,ISS4,ISS5,ISS6,ISS7,ISS8,ISS9,ISS10,ISS11,ISS12,ISS13,ISS14,ISS15,ISS16,ISS17,ISS18,ISS19,ISS20,ISS21,ISS22,ISS23,ISS24,ISS25,ISS26,ISS27,ISS28,ISS29,ISS30,ISS31,ISS32,ISS33,ISS34,ISS35,ISS36,ISS37,ISS38,ISS39,ISS40,ISS41,ISS42,ISS43,ISS44,ISS45,ISS46,ISS47,ISS48,ISS49,ISS50,ISS51,ISS52,ISS53,ISS54,ISS55,ISS56,ISS57,ISS58,ISS59,ISS60,ISS61,ISS62,ISS63,ISS64,ISS65,ISS66,ISS67,ISS68,ISS69,ISS70,ISS71
Top4,25.90%,19.00%,20.70%,13.80%,10.30%,17.20%,6.90%,5.20%,6.90%,13.80%,19.00%,15.50%,10.30%,20.70%,20.70%,20.70%,48.30%,15.50%,22.40%,25.90%,43.10%,25.90%,6.90%,34.50%,25.90%,20.70%,20.70%,24.10%,15.50%,12.10%,19.00%,6.90%,12.10%,10.30%,19.00%,55.20%,44.80%,65.50%,62.10%,55.20%,22.40%,8.60%,10.30%,8.60%,70.70%,67.20%,72.40%,44.80%,58.60%,60.30%,10.30%,48.30%,60.30%,46.60%,41.40%,44.80%,31.00%,24.10%,72.40%,65.50%,43.10%,34.50%,27.60%,29.30%,19.00%,8.60%,34.50%,37.90%,20.70%,25.90%,36.20%
Bottom4,12.10%,19.00%,13.80%,32.80%,31.00%,37.90%,58.60%,53.40%,36.20%,24.10%,19.00%,27.60%,29.30%,19.00%,17.20%,20.70%,5.20%,31.00%,20.70%,17.20%,5.20%,27.60%,46.60%,8.60%,10.30%,13.80%,13.80%,17.20%,17.20%,37.90%,10.30%,43.10%,24.10%,24.10%,32.80%,3.40%,5.20%,5.20%,5.20%,6.90%,24.10%,44.80%,43.10%,32.80%,3.40%,5.20%,5.20%,13.80%,8.60%,6.90%,53.40%,8.60%,5.20%,10.30%,8.60%,10.30%,10.30%,20.70%,1.70%,3.40%,10.30%,6.90%,15.50%,17.20%,20.70%,48.30%,12.10%,8.60%,17.20%,15.50%,17.20%
2010,43960000,-15175000,0,0,-15175000,0,-4308000,7108000,652000,0,0,0,39540500,-148934000,0,0,0,0,0,0,-3814000,-3148000,-3148000,-24684000,0,0,0,62429000,0,0,0,0,17975000,0,0,-295947000,0,-16662000,0,0,0,121919000,-20550000,0,0,395488000,0,-15129000,-7320000,-4931000,-68879000,17288000,11143500,11143500,0,0,0,0,0,0,-227626000,0,-24970000,0,-100254000,0,0,-48582000,8877000,0,0
2011,130540000,-15314500,0,0,-15314500,0,-17945000,-1828000,-13173000,0,0,0,14191000,-9115000,-88000,0,0,0,0,-1000,-11708000,-13961500,-13961500,-86396000,0,0,0,-63424000,0,0,0,0,-30729000,0,0,-325848000,0,-23628000,0,0,0,-15063000,-24668000,0,0,-76104000,0,-75809000,-24183000,-15511000,-395941000,21309000,18332000,18332000,0,0,0,0,0,0,1077000,0,-67572000,0,-993000,0,0,-10380000,-11942000,0,0
2012,-20851000,-4875500,0,0,-4875500,0,-2780000,-7548000,-1326000,0,0,0,-291000,-137134000,-158000,0,0,0,0,0,-7099000,-5187000,-5187000,-13728000,0,0,0,-76217000,0,0,0,0,-10393000,0,0,-46272000,0,-1004000,0,0,0,-33656000,-12613000,0,0,-416652000,0,-18710000,-12729000,-7882000,-27861000,-6147000,-5790000,-5790000,0,0,0,0,0,0,-53294000,0,-3140000,0,-514000,0,0,56866000,-6557000,0,0
2013,196328000,-54719000,0,0,-54719000,0,-25698000,-17891000,-14238000,0,0,0,3617500,-326111000,-83000,0,0,0,0,0,-23880000,-23993000,-23993000,-43347000,0,0,0,-135215000,0,0,0,0,-52079000,0,0,-97519000,0,-73452000,0,0,0,-89316000,-33219000,0,0,-448190000,0,5321000,-94187000,-23268000,-153611000,-6932000,-5025500,-5025500,0,0,0,0,0,0,-73376000,0,-53055000,0,-25806000,0,0,-80806000,-100303000,0,0
2014,-91953000,-221038500,0,0,-221038500,0,-22447000,-16165000,-16007000,0,0,0,897500,-310484000,-491000,0,0,0,-3454000,0,-22229000,-13653500,-13653500,-47807000,0,0,0,-122096000,0,0,0,0,-50011000,0,0,-99006000,0,-35683000,0,0,0,-93875000,-67218000,0,0,-414929000,0,-55463000,-125552000,-13144000,410649000,-11394000,-4786000,-4786000,0,0,0,0,0,0,-594579000,0,-50391000,0,-219813000,0,0,-236095000,-103965000,0,0
2015,-52730000,-96738000,0,0,-96738000,0,12426000,2202000,-5018000,0,0,0,3360500,-383583000,-629000,0,0,0,-7091000,0,-6769000,-20326000,-20326000,-58476000,0,0,0,-120625000,0,0,0,0,-13232000,0,0,-80472000,0,-38043000,0,0,0,-110166000,-16575000,0,0,-478530000,0,-44127000,-65774000,-24949000,427187000,-31867000,-8290500,-8290500,0,0,0,0,0,0,-638943000,0,2439000,0,-94092000,0,0,-114363000,-239116000,0,0
2016,-46725000,-22150000,0,0,-22150000,0,-3023000,-2592000,-1746000,0,0,0,-6893500,-136291000,44000,0,0,0,-1019000,0,-7396000,-18048500,-18048500,-60389000,0,0,0,-131926000,0,0,0,0,-12684000,0,0,-84379000,0,-9474000,0,0,0,-107799000,-43701000,0,0,-275970000,0,-7922000,-61095000,-14389000,-11048000,-52913000,-5951500,-5951500,0,0,0,0,0,0,-289377000,0,-6136000,0,-12390000,0,0,-73388000,-101426000,0,0
2017,-45990000,-3644000,0,0,-3644000,0,-3562000,-2914000,-2957000,0,0,0,-4179000,-138310000,0,0,0,0,-697000,0,-7960000,-12891500,-12891500,-79727000,0,0,0,-88918000,0,0,0,0,-11384000,0,0,-78245000,0,-9174000,0,0,0,-83227000,-45010000,0,0,-316753000,0,-2722000,-59547000,-8898000,-29968000,-22083000,-6714500,-6714500,0,0,0,0,0,0,-271308000,0,-7506000,0,-9948000,0,0,-60420000,-89110000,0,0
