Button,ISS100,ISS102,ISS103,ISS104,ISS105,ISS106,ISS107,ISS109,ISS111,ISS112,ISS115,ISS116,ISS118,ISS121,ISS113,ISS250,ISS800,ISS803,ISS202,ISS251,ISS252,ISS253,ISS254,ISS201,ISS414,ISS411,ISS420,ISS200,ISS400,ISS402,ISS403,ISS404,ISS405,ISS406,ISS408,ISS500,ISS501,ISS502,ISS503,ISS504,ISS505,ISS506,ISS507,ISS510,ISS401,ISS600,ISS601,ISS602,ISS603,ISS604,ISS702,ISS900,ISS901,ISS902,ISS903,ISS904,ISS905,ISS906,ISS701,ISS703,ISS700,ISS300,ISS301,ISS302,ISS303,ISS304,ISS305,ISS306,ISS307,ISS308,ISS309
Top4,0.2857,0.2017,0.2521,0.1261,0.1176,0.1513,0.084,0.1261,0.0932,0.161,0.2712,0.1186,0.1111,0.2119,0.2458,0.2521,0.5294,0.2437,0.2185,0.3109,0.4706,0.2288,0.0588,0.3729,0.2627,0.2203,0.2373,0.2797,0.1966,0.1102,0.1949,0.0763,0.1624,0.1356,0.1681,0.4958,0.4874,0.6134,0.6218,0.4958,0.1933,0.0763,0.0924,0.1356,0.6639,0.6134,0.6218,0.4454,0.5294,0.563,0.1008,0.4286,0.5378,0.4622,0.4286,0.4286,0.3109,0.2605,0.7009,0.6068,0.4052,0.4746,0.339,0.3333,0.2458,0.1186,0.4068,0.4492,0.2458,0.2458,0.3475
Bottom4,0.1092,0.1933,0.1092,0.3025,0.2941,0.4202,0.5714,0.479,0.3559,0.3051,0.1864,0.2966,0.2906,0.2203,0.2034,0.2185,0.0756,0.2857,0.2605,0.1849,0.084,0.322,0.5294,0.1017,0.1695,0.1695,0.161,0.1864,0.2051,0.4153,0.1271,0.4915,0.2906,0.2712,0.4202,0.0336,0.042,0.0336,0.042,0.0504,0.3109,0.5,0.437,0.3644,0.0252,0.084,0.084,0.1261,0.0756,0.042,0.5546,0.0924,0.0504,0.1092,0.084,0.0924,0.1345,0.1345,0.0342,0.0171,0.1466,0.0593,0.1441,0.1453,0.1949,0.5085,0.1356,0.0763,0.2119,0.161,0.0932
2010,43960000,-6242500,-6242500,-6242500,-6242500,-3814000,-4308000,7108000,652000,14201000,26469333,26469333,26142333,17975000,-24380000,-15129000,-2130000,NA,0,-48665000,-30350000,-50127000,-50127000,-7076000,15391000,0,0,62429000,0,0,0,0,0,0,0,0,0,0,0,0,-295947000,121919000,-4931000,0,0,395488000,-24684000,-5304000,-7320000,-32705000,-20550000,17288000,11143500,11143500,NA,NA,NA,NA,-148934000,-68879000,-227626000,0,0,0,0,0,0,0,0,NA,0
2011,130540000,-16893000,-16893000,-16893000,-16893000,-11708000,-17945000,-1828000,-13173000,361000,10435667,10435667,7510667,-30729000,-61552000,-73501000,-3831000,NA,0,-10456000,-30629000,-496500,-496500,-428000,-11684000,-88000,-1000,-63424000,0,0,0,0,0,0,0,0,0,0,0,0,-325848000,-15063000,-15511000,0,0,-76104000,-86396000,-27588000,-24183000,-45702000,-24668000,21309000,18332000,18332000,NA,NA,NA,NA,-9115000,-395941000,1077000,0,0,0,0,0,0,0,0,NA,0
2012,-20851000,-785000,-785000,-785000,-785000,-7099000,-2780000,-7548000,-1326000,-9996000,-62000,-62000,-458000,-10393000,-42685000,-17461000,-4363000,NA,0,56759000,-9751000,-257000,-257000,-5157000,-1400000,-158000,0,-76217000,0,0,0,0,0,0,0,0,0,0,0,0,-46272000,-33656000,-7882000,0,0,-416652000,-13728000,-10374000,-12729000,-1008000,-12613000,-6147000,-5790000,-5790000,NA,NA,NA,NA,-137134000,-27861000,-47897000,0,0,0,0,0,0,0,0,NA,0
2013,220549000,-11503750,-11503750,-11503750,-11503750,-18854000,-21919000,-15894000,-12431000,-23882000,5012333,5012333,688333,-42824000,-82027000,5987000,52587000,NA,0,-63605000,-106645000,-12721000,-12721000,-61522000,-8012000,-83000,0,-76776000,0,0,0,0,0,0,0,0,0,0,0,0,-55855000,-47881000,-17563000,0,0,-302968000,-21902000,-73849000,-51127000,-137595000,-15526000,-1765000,-2268500,-2268500,NA,NA,NA,NA,-220921000,-153611000,78569000,0,0,0,0,0,0,0,0,NA,0
2014,-81643000,-10929750,-10929750,-10929750,-10929750,-17433000,-19054000,-14278000,-14196000,-36166000,3333667,3333667,-735333,-40429000,-65340000,-56411000,-81709000,NA,-3454000,-218596000,-439856000,-109721000,-109721000,-46433000,18169000,-491000,0,-62439000,0,0,0,0,0,0,0,0,0,0,0,0,-61421000,-49569000,-7478000,0,0,-302273000,-4059000,-31266000,-77520000,-58957000,-50349000,-6911000,180000,180000,NA,NA,NA,NA,-236439000,410649000,-391056000,0,0,0,0,0,0,0,0,NA,0
2015,-12299000,2524500,2524500,2524500,2524500,550000,15665000,3392000,-3438000,-7803000,5048000,5048000,2275000,1018000,4895000,-45919000,-3071000,NA,-7091000,-93048000,-190344000,-46100500,-46100500,-104828000,-35046000,-699000,0,-45473000,0,0,0,0,0,0,0,0,0,0,0,0,-36686000,-68677000,-17691000,0,0,-329091000,-14238000,-52886000,-46370000,-68040000,-256000,-26380000,-4333500,-4333500,NA,NA,NA,NA,-276333000,427187000,-396700000,0,0,0,0,0,0,0,0,NA,0
2016,-10826000,-208500,-208500,-208500,-208500,-4018000,-631000,-1063000,-129000,-12688000,-1275000,-1275000,-6521000,-368000,-9964000,-7098000,-17484000,NA,-1019000,-44541000,-40694000,-4699500,-4699500,-36929000,-2422000,44000,0,-14855000,0,0,0,0,0,0,0,0,0,0,0,0,-40093000,-64209000,-6264000,0,0,-124078000,-4957000,-52587000,-12065000,-15608000,-6183000,-43725000,33000,33000,NA,NA,NA,NA,-24536000,-5686000,-30082000,0,0,0,0,0,0,0,0,NA,0
2017,-8602000,-330500,-330500,-330500,-330500,-4626000,-1067000,-908000,-909000,-1973000,0,0,-830000,-216000,-4054000,-1373000,-18139000,NA,-697000,-20301000,4283000,-2806500,-2806500,-16321000,-11110000,0,0,-3867000,0,0,0,0,0,0,0,0,0,0,0,0,-25758000,-32589000,-1702000,0,0,-157225000,-16561000,-17535000,-7803000,-12704000,-3739000,-10444000,0,0,NA,NA,NA,NA,-22514000,-19401000,100434000,0,0,0,0,0,0,0,0,NA,0
