ID,Name,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,AVG,Def10,Def11,Def12,Def13,Def14,Def15,Def16,Def17,Def18,Def19,Def20,Def21,Size10,Size11,Size12,Size13,Size14,Size15,Size16,Size17,Size18,Size19,Size20,Size21
ISS100,ISS 100: Installation Management,0.207096689,0.763293611,-0.153167514,1.754510596,-0.859372862,-0.133863753,-0.14036407,-0.11331094,0,0,0,0,6.6,43960000,130540000,-20851000,220549000,-81643000,-12299000,-10826000,-8602000,0,0,0,0,6,9,4,11,8,3,3,3,0.7,0.7,0.7,0.7
ISS102,ISS 102: Administration and Civil Law,-0.392511318,-0.824461011,-0.064508177,-0.916743037,-0.912771155,0.216208115,-0.017556786,-0.029096511,0,0,0,0,6.26,-6242500,-16893000,-785000,-11503750,-10929750,2524500,-208500,-330500,0,0,0,0,3,4,1,3,3,2,1,1,0.7,0.7,0.7,0.7
ISS103,ISS 103: Criminal Law and Discipline,-0.392511318,-0.824461011,-0.064508177,-0.916743037,-0.912771155,0.216208115,-0.017556786,-0.029096511,0,0,0,0,6.7,-6242500,-16893000,-785000,-11503750,-10929750,2524500,-208500,-330500,0,0,0,0,3,4,1,3,3,2,1,1,0.7,0.7,0.7,0.7
ISS104,ISS 104: Client Services,-0.392511318,-0.824461011,-0.064508177,-0.916743037,-0.912771155,0.216208115,-0.017556786,-0.029096511,0,0,0,0,5.26,-6242500,-16893000,-785000,-11503750,-10929750,2524500,-208500,-330500,0,0,0,0,3,4,1,3,3,2,1,1,0.7,0.7,0.7,0.7
ISS105,ISS 105: Claims,-0.392511318,-0.824461011,-0.064508177,-0.916743037,-0.912771155,0.216208115,-0.017556786,-0.029096511,0,0,0,0,5.45,-6242500,-16893000,-785000,-11503750,-10929750,2524500,-208500,-330500,0,0,0,0,3,4,1,3,3,2,1,1,0.7,0.7,0.7,0.7
ISS106,ISS 106: Religious Support,-0.141013791,-0.481454067,-0.362046104,-0.952414629,-0.947445652,0.025625495,-0.177332509,-0.218485807,0,0,0,0,4.91,-3814000,-11708000,-7099000,-18854000,-17433000,550000,-4018000,-4626000,0,0,0,0,2,3,3,4,4,1,2,2,0.7,0.7,0.7,0.7
ISS107,ISS 107: Public Affairs,-0.153146107,-0.660009563,-0.114065321,-0.910635646,-0.893463378,0.645154648,-0.018750186,-0.033929026,0,0,0,0,4.13,-4308000,-17945000,-2780000,-21919000,-19054000,15665000,-631000,-1067000,0,0,0,0,2,4,2,4,4,4,1,2,0.7,0.7,0.7,0.7
ISS109,ISS 109: Equal Employment Opportunity (EEO),0.609344192,-0.192705039,-0.31073237,-0.875364873,-0.902072277,0.20350372,-0.05608019,-0.049835346,0,0,0,0,4.79,7108000,-1828000,-7548000,-15894000,-14278000,3392000,-1063000,-908000,0,0,0,0,3,2,3,4,3,2,2,1,0.7,0.7,0.7,0.7
ISS111,ISS 111: Internal Review,0.098133654,-0.73831409,-0.089431443,-0.832451617,-0.968547452,-0.176371005,-0.009596072,-0.067962617,0,0,0,0,5.01,652000,-13173000,-1326000,-12431000,-14196000,-3438000,-129000,-909000,0,0,0,0,1,3,2,3,3,2,1,1,0.7,0.7,0.7,0.7
ISS112,ISS 112: Installation Safety and Occupational Health,0.444545312,0.013155497,-0.202389148,-0.470868905,-0.610974085,-0.121781066,-0.214567162,-0.03711507,0,0,0,0,5.31,14201000,361000,-9996000,-23882000,-36166000,-7803000,-12688000,-1973000,0,0,0,0,3,1,3,4,5,3,3,2,0.7,0.7,0.7,0.7
