ID,ISS100,ISS102,ISS103,ISS104,ISS105,ISS106,ISS107,ISS109,ISS111,ISS112,ISS115,ISS116,ISS118,ISS121,ISS113,ISS250,ISS800,ISS803,ISS202,ISS251,ISS252,ISS253,ISS254,ISS201,ISS414,ISS411,ISS420,ISS200,ISS400,ISS402,ISS403,ISS404,ISS405,ISS406,ISS408,ISS500,ISS501,ISS502,ISS503,ISS504,ISS505,ISS506,ISS507,ISS510,ISS401,ISS600,ISS601,ISS602,ISS603,ISS604,ISS702,ISS900,ISS901,ISS902,ISS903,ISS904,ISS905,ISS906,ISS701,ISS703,ISS700,ISS300,ISS301,ISS302,ISS303,ISS304,ISS305,ISS306,ISS307,ISS308,ISS309
Y2010,-0.157500071,-0.036617387,0.375273967,0.085338193,0.141418144,0.588817503,0.966592455,1.602160234,-0.008921201,-0.468588234,1.200850931,0.841860148,0.311139161,0.946881973,-0.209105897,0.120040984,0.580226687,0.231191417,-0.3061953,1.379713854,-0.141216652,0.023755757,1.187953519,0.206802647,0.420134354,-0.351927895,-0.473525984,-0.261545206,-0.084829861,-0.159231098,0.450662385,0.432031056,-0.058003433,-0.069718916,-0.322978777,0.443261214,0.113174878,0.168080412,-0.069164081,-0.380078911,0.175754163,1.439710492,0.345139618,0.492333228,0.411556931,0.842432082,-0.463091242,0.176464654,0.417314908,1.824589967,-0.214997688,0.392856698,1.731239255,0.23118481,0.335798479,0.783220823,0.147370103,0.632826639,-0.264598688,-0.213652289,-0.182507133,1.073470629,1.912309594,0.242008964,-0.10368382,-0.087833394,0.213115436,-0.486098059,0.4138911,-0.129118178,0.07591994
Y2011,-0.111838872,0.715632274,-0.096027702,0.566585073,0.076077646,-0.172102516,0.076484084,0.613434744,-0.299044748,-0.042166214,0.917739853,-0.568925183,0.000384203,0.274797757,0.019032897,0.86655295,-0.162151848,0.073949991,0.27321637,-0.562221243,0.002081313,-0.08805311,-0.158697221,0.257105922,-0.501797699,-0.138504245,-0.434571508,-0.095634766,-0.26265831,0.26613446,-0.13289506,0.501148514,-0.113669714,-0.025540353,0.532390906,-0.521039747,0.269237271,0.094651974,0.172370742,-0.130146752,-0.031757547,-0.299285257,-0.270579015,0.042339942,-0.229666955,-0.281279875,-0.276536026,0.111326218,0.373885623,-0.094018123,-0.189988687,-0.190902633,-0.015357605,-0.066744057,-0.153343793,-0.015922241,0.7712832,-0.064762393,-0.550533861,-0.282576355,0.533208817,0.953236466,-0.304805215,-0.031890241,0.098187806,0.662792082,0.765517337,-0.534910835,-0.569228645,1.163122745,-0.489011214
Y2012,0.124259923,0.96528637,-0.203334726,0.013803677,-0.226310127,-0.203261488,-0.167526533,-0.375972922,0.219447572,-0.166008832,0.111259817,0.405912477,0.512934516,-0.117086689,-0.153431634,0.309848703,0.426177383,-0.056302035,-0.067073263,-0.291555892,0.645861566,-0.013022102,-0.189547705,0.440527624,-0.384499444,0.297330853,-0.365233453,0.276539793,0.124828383,0.516466735,-0.198648,-0.405559849,1.108086834,0.275342353,-0.289893684,-0.120896612,-0.543989947,1.228680611,0.181326192,-0.253813398,0.737733317,-0.166614822,-0.201970197,-0.451253212,-0.245524395,0.623840774,-0.29097368,-0.14589888,0.317388119,-0.288413063,-0.184241581,0.655366575,-0.092280087,0.130715138,0.056946946,0.682815019,0.42574152,0.533869756,0.422682458,0.589652592,0.159642007,0.121667263,0.182536815,-0.421195661,-0.459759583,-0.413834727,-0.262550229,0.884401449,-0.468388294,-0.258284355,0.806958252
Y2013,-0.187691585,0.208062447,-0.093280128,0.101095751,-0.299125852,0.109506955,0.282259477,-0.005251973,-0.187252929,0.063974711,0.476152596,1.247408619,-0.207960333,-0.166677768,-0.231541485,-0.427639095,-0.096993061,0.495750623,0.175581198,0.097400623,0.267051074,-0.173199222,0.029507914,-0.45082887,0.662167715,-0.214481595,0.073864912,0.941423898,0.217182465,0.100858277,-0.122901713,-0.228019395,0.024686999,-0.33685153,-0.0232119,0.434644255,0.063742758,0.025923636,0.005296475,-0.193858958,1.084196454,0.041007219,-0.067780799,-0.060403339,-0.029191135,-0.393773089,0.356024565,-0.137975049,-0.004708733,0.110583005,-0.348874889,0.214980284,-0.09706089,-0.228238993,-0.177920144,-0.28151098,0.285693226,-0.043216597,-0.406523101,0.680548218,0.311193329,-0.040823843,0.503107106,0.190235143,0.129978734,-0.065974715,0.016548561,-0.356773491,-0.187284987,0.46616007,0.063596768
Y2014,0.381026849,0.769111378,-0.310252147,0.4378988,-0.271588342,0.222177093,0.615757184,0.163095545,0.390249444,-0.359205406,-0.460871377,0.370559088,-0.038147376,-0.01307316,1.293426905,-0.141943376,1.180314845,-0.03147281,0.137810385,0.095820157,-0.592313418,0.625552768,-0.368170437,-0.467460232,0.174280472,-0.019798698,0.471575743,0.556758244,-0.334099862,-0.283386225,-0.112564778,1.150216857,0.793543763,-0.008779921,0.29284507,-0.47897323,-0.372423027,0.739792781,0.221146682,-0.069171193,-0.186057174,-0.228392419,-0.034874175,-0.262082647,-0.026960966,0.144229447,-0.357632632,0.10510639,-0.249672913,-0.216169885,-0.000215205,-0.281776044,-0.282598403,-0.086392516,0.417933928,-0.234258561,-0.305985193,-0.259059529,0.537047201,0.292061298,0.409630496,-0.430646149,-0.351045672,-0.488057603,0.072206996,-0.210522858,-0.56334326,-0.475027293,0.665291517,0.389542357,-0.188026699
Y2015,0.2711637,-0.224297602,0.581607947,0.061734729,-0.252322199,0.185416689,0.380908905,0.212792733,-0.27107474,-0.357831885,0.299507949,-0.371284135,1.12170156,0.10300693,0.550135566,-0.237241042,-0.099727637,0.539884654,0.682176945,-0.22222119,-0.218068508,-0.575021925,-0.201037629,-0.268783581,-0.015627325,0.752893965,0.89204214,-0.002709878,-0.431164095,-0.040969294,-0.291559653,-0.450504267,-0.346659852,0.410740703,0.787984788,0.060162748,0.006467114,-0.457505952,0.105081572,0.047653178,0.16022588,0.694605154,-0.239375194,0.376880069,0.272578765,-0.268239234,-0.477803301,-0.363760233,-0.280947867,0.014386095,0.570010618,-0.111671464,-0.149335708,0.071763634,0.038151778,-0.406250467,1.035149169,0.135772091,0.224167456,0.032595341,0.422596261,0.533210252,-0.362200347,-0.285342963,0.065280679,0.547686362,-0.534666157,-0.521346692,0.184835302,0.273916149,-0.382330712
Y2016,-0.303561368,-0.158479398,0.877777238,0.544511358,0.385122764,0.183078952,-0.242888127,0.480336962,-0.294423677,-0.098562313,-0.564585357,0.112025626,0.114697046,0.131265182,-0.130360893,-0.008351549,-0.484755435,-0.277663702,0.016070977,-0.295251818,-0.436635333,-0.302087472,0.862107403,-0.450377258,-0.031439354,0.61131352,1.197342539,0.553314187,-0.386712436,-0.452554226,-0.258651458,-0.451184056,-0.211028604,-0.376677119,0.269837983,0.140410953,0.00303249,-0.207480796,0.218169855,-0.330861789,0.203341858,0.132788254,-0.449214206,0.158937932,-0.135890049,0.190640765,-0.085898233,0.15086631,-0.299971726,1.192942892,-0.230422894,0.343501522,-0.00302852,-0.494542674,-0.46191217,-0.010588744,-0.307603798,-0.203498911,0.449407612,0.028207544,0.316923006,-0.510652983,-0.260077258,-0.110715738,0.063545406,-0.160310388,0.074628229,0.486286707,-0.039278368,-0.367337002,-0.305770491
Y2017,-0.202379387,-0.177970416,0.397402628,-0.227600898,1.03263839,0.12417653,1.004709223,-0.399695219,-0.488885318,0.528726737,-0.498385735,0.150870999,1.375066248,0.028505236,0.580536532,-0.245280543,0.264956987,0.5697174,-0.099136857,-0.109962872,0.334606995,-0.182471283,0.036892869,-0.325907233,0.585486751,0.090918063,0.069344548,-0.439141931,-0.126094275,-0.004254279,0.920388659,-0.001985372,0.953765195,-0.194549814,0.25341517,0.35218999,0.217185584,1.360553402,-0.065534493,0.149850196,-0.106310726,0.215694602,-0.076066673,1.177191014,0.434579717,0.31123136,-0.357022844,-0.428219724,0.012711504,-0.052110744,-0.374644454,-0.130462812,-0.22286246,0.281886083,0.074400097,-0.058245801,-0.437954213,-0.243326051,-0.133257626,0.111984753,0.462245841,-0.303657879,-0.240824123,0.094114829,-0.508183018,-0.019342806,-0.173288286,0.114557687,1.049713418,-0.266532831,0.013709964
Y2018,-0.15452392,-0.347920129,0.003204048,0.179246256,-0.157153929,-0.07434132,0.387006582,0.062320907,0.121583937,-0.24641098,0.204021995,-0.228076745,-0.074183095,0.521328138,0.276248449,0.154106097,-0.493119243,-0.344078802,0.778394067,0.082022186,-0.214936326,0.080235167,-0.556817695,0.124714855,-0.219883667,-0.314033064,0.415347356,-0.369825161,-0.308073511,-0.162793308,-0.499512957,0.023474782,0.203901746,-0.072052262,0.156792868,0.008196391,-0.106412052,0.047720542,-0.342489513,0.090857333,-0.393703115,0.175418499,0.262436247,0.060408783,0.51310181,0.569915172,0.54728557,0.714201562,0.183829469,-0.489997767,0.380629236,0.447017495,-0.134162784,0.007390666,0.258332518,0.069316897,0.290875559,0.177474931,-0.381672461,-0.114767505,0.412827522,0.123788958,-0.08024748,1.348300956,-0.420462685,1.219943976,0.677909337,-0.490016031,-0.115012435,-0.100908459,0.599672396
Y2019,-0.098647308,0.418721079,0.090316089,0.697794639,-0.442317879,1.107796731,-0.118495281,-0.278187404,-0.406034942,-0.271955023,-0.290551735,-0.16816909,0.122248192,0.330014716,0.121354266,0.432514639,0.023150343,0.023381729,1.124040984,0.029680339,0.547351418,0.88844609,-0.147931309,1.38212825,-0.357407126,-0.193078545,-0.147877587,0.117580702,0.181576474,0.507394136,-0.490552904,0.26236744,0.56266137,0.043588409,-0.112066477,-0.372080055,-0.076205363,0.046372408,-0.094768079,0.164740374,0.136845072,0.365735669,-0.00083889,0.122400734,-0.572460906,0.104297564,-0.351886445,0.299970964,-0.509639034,0.252769341,0.454188877,0.165515097,-0.015503028,0.948564915,-0.229356715,0.301997768,-0.476614516,0.198209502,0.106458783,0.869205167,0.37341029,-0.023184446,0.007037187,0.09770239,0.122415633,0.282853829,0.20701056,-0.137892691,0.484390274,-0.214189694,-0.160854656
